URL,Price,BOX_TYPE,CASE_DIAMETER,CASE_THICKNESS,CASE_MATERIAL,CASE_SHAPE,CASE_BACK,BAND_MATERIAL,BAND_TYPE,BAND_COLOR,CLASP,DIAL_COLOR,TYPE,CRYSTAL,HANDS,DIAL_MARKERS,SECOND_MARKERS,BEZEL,BEZEL_COLOR,BEZEL_MATERIAL,BRAND,COLLECTION_NAME,GENDER,MODEL,WATCH_LABEL,MOVEMENT,ENGINE,WATER_RESISTANCE,CALENDAR,FUNCTIONS,WATCH_FEATURES,WATCH_STYLE,WARRANTY,JOMASHOP_SKU,DEPARTMENT,CATEGORY,CROWN
https://www.jomashop.com/tissot-t-classic-automatic-blue-dial-mens-watch-t137-407-11-041-00.html,$534.00,Original Box,40 mm,10.9 mm,Stainless Steel,Tonneau,Transparent,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,Blue,Analog,Scratch Resistant Sapphire,Luminous Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Tissot,PRX,Mens,T137.407.11.041.00,Swiss Made,Automatic,Powermatic 80.111,100 meters / 330 feet,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Casual,2 Year Jomashop Warranty,TIST1374071104100,Watches,Watches,
https://www.jomashop.com/tissot-t-classic-automatic-blue-dial-mens-watch-t137-407-11-041-00.html,$534.00,Original Box,40 mm,10.9 mm,Stainless Steel,Tonneau,Transparent,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,Blue,Analog,Scratch Resistant Sapphire,Luminous Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Tissot,PRX,Mens,T137.407.11.041.00,Swiss Made,Automatic,Powermatic 80.111,100 meters / 330 feet,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Casual,2 Year Jomashop Warranty,TIST1374071104100,Watches,Watches,
https://www.jomashop.com/preowned-1-audemars-piguet-royal-oak-offshore-black-dial-mens-watch-25995ip-oo-1000ti-01.html,"$27,750.00",,44 mm,,Titanium,Octagon,,Titanium,Bracelet,Grey,Deployment with Push Button Release,Black,Analog,Scratch Resistant Sapphire,Luminous,Index and Arabic numeral,Minute Markers around the outer rim,Fixed,Grey,Titanium,Audemars Piguet,Royal Oak Offshore,Mens,25995IP.OO.1000TI.01,Swiss Made,Automatic,,,Date sub-dial at the 2 o'clock position,"Date, Second Time Zone, Hour, Minute, Second","Analog, Power Reserve Indicator, Titanium, Time Zone",Luxury,1 Year Jomashop Warranty,PRE-P-AP74592,Watches,Watches,
https://www.jomashop.com/stuhrling-original-monaco-blue-dial-mens-watch-m17970.html,"$88.00
after coupon",Original Box,42 mm,14 mm,Alloy,Round,,Leather,Strap,Blue,,Blue,Analog,,Silver-tone,Arabic Numeral,Minute Markers around the outer rim,Fixed,Silver-tone,Alloy,Stuhrling Original,Monaco,Mens,M17970,,Quartz,,,Date display at the 6 o'clock position,"Chronograph, Date, Hour, Minute, Second","Month, Analog, Leather, Chronograph",Casual,,ST-OM17970,Watches,Watches,
https://www.jomashop.com/preowned-1-rolex-rolex-explorer-ii-16570t-black-dial-mens-watch-16570t.html,"$9,318.00",,40 mm,12 mm,Stainless Steel,Round,Solid,Stainless Steel Oyster,Bracelet,Silver-tone,Fold Over with Safety Release,Black,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Rolex,Explorer II,Mens,16570T BKSO,Swiss Made,Automatic,Rolex Calibre 3186,100 meters / 330 feet,Date Display at the 3 o'clock position,"Date, GMT, Second Time Zone, Hour, Minute, Second, Chronometer","Time Zone, Stainless Steel, Analog, GMT, Chronometer",Luxury,1 Year Jomashop Warranty,PRE-P-RLX72834,Watches,Watches,Screw Down
https://www.jomashop.com/preowned-1-longines-conquest-l1-631-4-silver-tone-dial-unisex-watch-l1-631-4.html,$754.99,,35 mm,,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,Silver-tone,Analog,,Silver-tone,Arabic Numeral,Minute Markers around the outer rim,,Silver-tone,Stainless Steel,Longines,Conquest,Unisex,L1.631.4,Swiss Made,Quartz,,,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Casual,1 Year Jomashop Warranty,PRE-P-LNG73815,Watches,Watches,
https://www.jomashop.com/preowned-1-tag-heuer-carrera-white-dial-unisex-watch-cv2116.html,"$3,150.00",,38 mm,,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,White,Analog,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral & Index,Minute Markers around the outer rim,Fixed,Silver-tone,Diamond Set Stainless Steel,Tag Heuer,Carrera,Unisex,CV2116,Swiss Made,Automatic,,30 meters / 100 feet,Date display at the 6 o'clock position,"Chronograph, Date, Hour, Minute, Second","Analog, Stainless Steel, Chronograph, Diamond",Luxury,1 Year Jomashop Warranty,PRE-P-TH72231,Watches,Watches,
https://www.jomashop.com/gv2-by-gevril-arezzo-diamond-green-dial-ladies-watch-13302.html,$876.00,Original Box,33 mm,8.5 mm,Stainless Steel,Round,Solid,Leather,Strap,Green,Buckle,Green,Analog,Scratch Resistant Sapphire,Yellow Gold-tone,Diamond,Minute Markers around the outer rim,Fixed,Yellow Gold-tone,Stainless Steel,Gv2 By Gevril,Arezzo,Womens,13302,,Quartz,,50 meters / 165 feet,,"Hour, Minute, Second","Analog, Gold, Leather, Stainless Steel, Diamond",Fashion,With Manufacturers Guarantee,Y-A457R,Watches,Watches,Pull / Push
https://www.jomashop.com/breitling-super-chronomat-b01-chronograph-automatic-chronometer-green-dial-mens-watch-ub0136251l1s1.html,"$7,995.00",Original Box,44 mm,14.4 mm,Stainless Steel,Round,Transparent See Through,Rubber,Strap,Black,Folding,Green,Analog,Scratch Resistant Sapphire,Rose Gold-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,,18kt Red Gold with a Black Ceramic Top Ring,Breitling,Super Chronomat B01,Mens,UB0136251L1S1,Swiss Made,Automatic,Breitling Calibre 01,200 meters / 660 feet,Date display at the 6 o'clock position,"Chronograph, Column Wheel, Date, Hour, Minute, Second, Chronometer","Analog, Chronometer, Ceramic, Gold, Rubber, Stainless Steel, Chronograph",Sport,2 Year Jomashop Warranty,BTUB0136251L1S1,Watches,Watches,Screw Down
https://www.jomashop.com/preowned-2-cartier-calibre-de-cartier-black-dial-mens-watch-3389-w7100016.html,"$4,550.00",,42 mm,,Stainless Steel,Round,Transparent See Through,Stainless Steel,Bracelet,Silver-tone,Deployment with Push Button Release,Black,Analog,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Cartier,Calibre de Cartier,Mens,W7100016,Swiss Made,Automatic,Cartier Calibre 1904-PS MC,30 meters / 100 feet,Date display at the 3 o'clock position,"Date, Hour, Minute, Small Second","Stainless Steel, Analog",Casual,1 Year Jomashop Warranty,PRE-P-CRT72261,Watches,Watches,Cabochon
