URL,Price,BOX_TYPE,CASE_DIAMETER,CASE_MATERIAL,CASE_SHAPE,BAND_MATERIAL,BAND_TYPE,BAND_COLOR,CLASP,DIAL_COLOR,TYPE,CRYSTAL,HANDS,LUMINISCENCE,BEZEL,BRAND,COLLECTION_NAME,GENDER,MODEL,WATCH_LABEL,MOVEMENT,FUNCTIONS,WATCH_FEATURES,WATCH_STYLE,WARRANTY,JOMASHOP_SKU,ITEM_VARIATION,DEPARTMENT,CATEGORY,DIAL_MARKERS,SECOND_MARKERS,BEZEL_COLOR,BEZEL_MATERIAL,ENGINE,WATER_RESISTANCE,CASE_BACK,CROWN,POWER_RESERVE,CALENDAR,ADDITIONAL_INFO,COLOR,BOX,PAPERS,CASE_THICKNESS,BAND_WIDTH,SUB_DIALS,UPC_CODE,CLOSURE_TYPE,PREOWNED_ITEM_CONDITION,YEAR,COMMENTS,BAND_LENGTH,CASE_COLOR,SIZE_INFO,BRAND_TYPE,CONDITION_DESCRIPTION,MATERIAL
https://www.jomashop.com/hublot-watch-771-ox-1189-hr-lam12.html,"$38,580.00",Original Box,48 mm,18Kt Rose Gold,Round,Leather,Strap,Blue,Deployment,Skeleton,Analog,Scratch Resistant Sapphire,Rose Gold-tone,Hands,Fixed Rose Gold and Resin,Hublot,King Power,Mens,771.OX.1189.HR.LAM12,Swiss Made,Automatic,"Hour, Minute, GMT","Analog, GMT, Gold, Leather",Luxury,2 Year Jomashop Warranty,HB771OX1189HRLAM12,"771 OX 1189 HR LAM12, 771-OX-1189-HR-LAM12, 771OX1189HRLAM12",Watches,Watches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jomashop.com/frederique-constant-watch-fc-200mpw2v3b.html,"$1,190.00",Original Box,25 mm,Stainless Steel,Oval,Stainless Steel,Bracelet,Two-tone,Fold Over,White Mother of Pearl,Analog,Scratch Resistant Sapphire,Black,,Fixed,Frederique Constant,Art Deco Oval,Womens,FC-200MPW2V3B,Swiss Made,Quartz,"Hour, Minute","Analog, Gold, Stainless Steel",Luxury,2 Year Jomashop Warranty,FC-200MPW2V3B,"FC 200MPW2V3B, FC.200MPW2V3B, FC200MPW2V3B",Watches,Watches,Roman Numeral,Minute Markers around the inner ring,Gold-tone,Stainless Steel,Frederique Constant Calibre FC-200,30 meters / 100 feet,,,,,,,,,,,,,,,,,,,,,,
https://www.jomashop.com/hublot-watch-565-ox-1180-lr-1104.html,"$19,540.00",Original Box,38 mm,18kt Rose Gold,Round,Leather,Strap,Black,Deployment with Push Button Release,Black,Analog,Scratch Resistant Sapphire,Gold-tone,Hands and Markers,Fixed,Hublot,Classic Fusion,Mens,565.OX.1180.LR.1104,Swiss Made,Automatic,"Date, Hour, Minute, Second","Analog, Gold, Leather, Diamond",Luxury,2 Year Jomashop Warranty,HB565OX1180LR1104,"565 OX 1180 LR 1104, 565-OX-1180-LR-1104, 565/OX/1180/LR/1104, 565OX1180LR1104",Watches,Watches,Index,Diamonds,18kt Rose Gold,Diamond Set,Hublot Calibre HUB1110,50 meters / 165 feet,Skeleton Transparent Exhibition See Through,Screw Down,42 hours,Date display at the 3 o'clock position,126 brilliant cut 0.78 ctw,,,,,,,,,,,,,,,,,
https://www.jomashop.com/hublot-watch-301qx1710gr.html,"$17,770.00",Original Box,44 mm,Carbon Fiber,Round,Alligator Gummy,Strap,Black,Black Ion Plated Steel,Black Carbon Fiber,Analog,Scratch Resistant Sapphire,Gunmetal,Hands and Markers,Fixed,Hublot,Big Bang,Mens,301.QX.1710.GR,Swiss Made,Automatic,"Chronograph, Hour, Minute, Second","Alligator Leather, Analog, Chronograph",Luxury,2 Year Jomashop Warranty,HB301QX1710GR,"301 QX 1710 GR, 301-QX-1710-GR, 301/QX/1710/GR, 301QX1710GR",Watches,Watches,Index,Minute Markers around the outer rim,Black,Carbon Fiber,,100 meters / 330 feet,,Screw Down,,,,Black,,,,,,,,,,,,,,,,
https://www.jomashop.com/heritor-watch-hr3506.html,"$121.84
after coupon",Original Box,44 mm,Stainless Steel,Round,(Croco-Embossed) Leather,Strap,Black,Tang,Vitreous Enamel (Open Heart),Analog,Scratch Resistant Mineral,Rose Gold-tone,Hands,Fixed,Heritor,Aura,Mens,HR3506,,Automatic,"Date, Day, Hour, Minute, Second","Analog, Gold, Leather, Stainless Steel",Casual,With Manufacturers Guarantee,HRT-HR3506,HRT-HR3506,Watches,Watches,,Minute Markers around the outer rim,Rose Gold-tone,Stainless Steel,,50 meters / 165 feet,Transparent,,,Date display at the 3 o'clock position,,,No,No,17 mm,22 mm,Two - Date and Day of the Week,847864148420.0,,,,,,,,,,
https://www.jomashop.com/gevril-excelsior-black-dial-mens-watch-48200.html,"$1,139.00",Original Box,42 mm,Stainless Steel,Round,Leather,Strap,Black,Buckle,Black,Analog,Scratch Resistant Sapphire,Rose Gold-tone,Hands,Fixed,Gevril,Excelsior,Mens,48200,Swiss Made,Automatic,"Date, Day, Hour, Minute, Second","Analog, Gold, Leather, Stainless Steel",Luxury,With Manufacturers Guarantee,Y-A3CQK,,Watches,Watches,Index,Minute Markers around the outer rim,Silver-tone,Stainless Steel,SW240,50 meters / 165 feet,Transparent,Pull / Push,,Date display at the 3 o'clock position,day indicator at 12 o'clock,,,,11.5 mm,21 mm,,840840142665.0,,,,,,,,,,
https://www.jomashop.com/carl-f-bucherer-manero-flyback-chronograph-automatic-black-dial-mens-watch-00-10919-03-33-02.html,"$10,250.00",Original Box,43 mm,18k Rose Gold,Round,Leather,Strap,Dark Grey,18k Rose Gold pin buckle,Black,Analog,Scratch Resistant Sapphire,Rose Gold-tone,,Fixed,Carl F. Bucherer,Manero Flyback,Mens,00.10919.03.33.02,Swiss Made,Automatic,"Chronograph, Date, Hour, Minute, Second","Analog, Flyback, Gold, Leather, Chronograph",Luxury,2 Year Jomashop Warranty,CFB0010919033302,,Watches,Watches,Index,Tachymeter Scale around the inner rim,,18k Rose Gold,Carl F. Bucherer Calibre CFB 1970,30 meters / 100 feet,Transparent See Through,,42 hours,Date display at the 6 o'clock position,,,,,,,"30 Minutes, 60 Seconds",,,,,,,,,,,
https://www.jomashop.com/omega-watch-220-10-38-20-02-002.html,"$4,795.00",Original Box,38 mm,Stainless Steel,Round,Stainless Steel,Bracelet,Silver-tone,Fold Over with Push Button Release,Opaline Silvery,Analog,Scratch Resistant Sapphire,Luminous 18kt Sedna Gold,Hands and Markers,Fixed Smooth,Omega,Seamaster Aqua Terra,Mens,220.10.38.20.02.002,Swiss Made,Automatic,"Date, Hour, Minute, Second, Co-Axial Escapement, Chronometer","Analog, Chronometer, Gold, Stainless Steel",Dress,4 Year Jomashop Warranty,OM22010382002002,,Watches,Watches,Index,,Silver-tone,Stainless Steel,Omega Calibre 8800,150 meters / 500 feet,Transparent,Screw Down,55 hours,Date display above the 6 o'clock position,,,,,13.2 mm,19 mm,,7612586287510.0,,,,,,,,,,
https://www.jomashop.com/breitling-premier-chronograph-automatic-brown-dial-unisex-watch-rb2510371g1p1.html,"$18,500.00",Original Box,42 mm,18kt Rose Gold,Round,Alligator,Strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transparent See Through,,,,,,,,,,,,RB2510371G1P1,,,,,,,,,
https://www.jomashop.com/carl-f-bucherer-watch-10915081301.html,"$2,750.00",Original Box,42 mm,Stainless Steel,Round,(Alligator) Leather,Strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transparent Sapphire,,,,,,,,11.98 mm,,,,,,,,,,,,,
