Price,CASE_MATERIAL,CASE_SHAPE,CASE_BACK,BAND_MATERIAL,BAND_TYPE,BAND_COLOR,CLASP,DIAL_COLOR,TYPE,CRYSTAL,HANDS,DIAL_MARKERS,SECOND_MARKERS,BEZEL,BEZEL_COLOR,BEZEL_MATERIAL,BRAND,COLLECTION_NAME,GENDER,MODEL,MOVEMENT,ENGINE,CALENDAR,FUNCTIONS,WATCH_FEATURES,WATCH_STYLE,CASE_DIAMETER,WATER_RESISTANCE,CASE_THICKNESS
534.0,Stainless Steel,Tonneau,Transparent,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,Blue,Analog,Scratch Resistant Sapphire,Luminous Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Tissot,PRX,Mens,T137.407.11.041.00,Automatic,Powermatic 80.111,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Casual,40.0,100.0,10.9
534.0,Stainless Steel,Tonneau,Transparent,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,Blue,Analog,Scratch Resistant Sapphire,Luminous Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Tissot,PRX,Mens,T137.407.11.041.00,Automatic,Powermatic 80.111,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Casual,40.0,100.0,10.9
27750.0,Titanium,Octagon,,Titanium,Bracelet,Grey,Deployment with Push Button Release,Black,Analog,Scratch Resistant Sapphire,Luminous,Index and Arabic numeral,Minute Markers around the outer rim,Fixed,Grey,Titanium,Audemars Piguet,Royal Oak Offshore,Mens,25995IP.OO.1000TI.01,Automatic,,Date sub-dial at the 2 o'clock position,"Date, Second Time Zone, Hour, Minute, Second","Analog, Power Reserve Indicator, Titanium, Time Zone",Luxury,44.0,,
88.0,Alloy,Round,,Leather,Strap,Blue,,Blue,Analog,,Silver-tone,Arabic Numeral,Minute Markers around the outer rim,Fixed,Silver-tone,Alloy,Stuhrling Original,Monaco,Mens,M17970,Quartz,,Date display at the 6 o'clock position,"Chronograph, Date, Hour, Minute, Second","Month, Analog, Leather, Chronograph",Casual,42.0,,14.0
9318.0,Stainless Steel,Round,Solid,Stainless Steel Oyster,Bracelet,Silver-tone,Fold Over with Safety Release,Black,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Rolex,Explorer II,Mens,16570T BKSO,Automatic,Rolex Calibre 3186,Date Display at the 3 o'clock position,"Date, GMT, Second Time Zone, Hour, Minute, Second, Chronometer","Time Zone, Stainless Steel, Analog, GMT, Chronometer",Luxury,40.0,100.0,12.0
754.99,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,Silver-tone,Analog,,Silver-tone,Arabic Numeral,Minute Markers around the outer rim,,Silver-tone,Stainless Steel,Longines,Conquest,Unisex,L1.631.4,Quartz,,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Casual,35.0,,
3150.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Fold Over with Safety Release,White,Analog,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral & Index,Minute Markers around the outer rim,Fixed,Silver-tone,Diamond Set Stainless Steel,Tag Heuer,Carrera,Unisex,CV2116,Automatic,,Date display at the 6 o'clock position,"Chronograph, Date, Hour, Minute, Second","Analog, Stainless Steel, Chronograph, Diamond",Luxury,38.0,30.0,
876.0,Stainless Steel,Round,Solid,Leather,Strap,Green,Buckle,Green,Analog,Scratch Resistant Sapphire,Yellow Gold-tone,Diamond,Minute Markers around the outer rim,Fixed,Yellow Gold-tone,Stainless Steel,Gv2 By Gevril,Arezzo,Womens,13302,Quartz,,,"Hour, Minute, Second","Analog, Gold, Leather, Stainless Steel, Diamond",Fashion,33.0,50.0,8.5
7995.0,Stainless Steel,Round,Transparent See Through,Rubber,Strap,Black,Folding,Green,Analog,Scratch Resistant Sapphire,Rose Gold-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,,18kt Red Gold with a Black Ceramic Top Ring,Breitling,Super Chronomat B01,Mens,UB0136251L1S1,Automatic,Breitling Calibre 01,Date display at the 6 o'clock position,"Chronograph, Column Wheel, Date, Hour, Minute, Second, Chronometer","Analog, Chronometer, Ceramic, Gold, Rubber, Stainless Steel, Chronograph",Sport,44.0,200.0,14.4
4550.0,Stainless Steel,Round,Transparent See Through,Stainless Steel,Bracelet,Silver-tone,Deployment with Push Button Release,Black,Analog,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Cartier,Calibre de Cartier,Mens,W7100016,Automatic,Cartier Calibre 1904-PS MC,Date display at the 3 o'clock position,"Date, Hour, Minute, Small Second","Stainless Steel, Analog",Casual,42.0,30.0,
644.99,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Deployment,Blue,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Movado,Heritage,Mens,3650142,Quartz,,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Casual,39.0,50.0,
24000.0,Stainless Steel,Round,Solid,Stainless Steel and 18kt Yellow Gold Oyster,Bracelet,Two-tone (Silver-tone and Yellow Gold-tone),,White,Analog,Scratch Resistant Sapphire,Yellow Gold-tone,Index,Minute Markers around the outer rim,Bi-directional Rotating Ring Command,Yellow Gold-tone,18kt Yellow Gold,Rolex,Sky Dweller,Mens,336933-0005,Automatic,Rolex Calibre 9002,Date display at the 3 o'clock position,"Annual Calendar, Month, Date, GMT, Second Time Zone, Hour, Minute, Second, Chronometer",GMT,Luxury,42.0,100.0,
25950.0,18kt Rose Gold,Round,Solid,Rubber,Strap,Black,,Black,Analog,Scratch Resistant Sapphire,Rose Gold-tone,Index,,Uni-directional Rotating,Black,Goldtech with Carbotech,Panerai,Submersible,Mens,PAM02070,Automatic,Panerai Calibre P.900,Date display at the 3 o'clock position,"Date, Hour, Minute, Small Second","Analog, Gold, Rubber",Dive,44.0,300.0,
99.99,Stainless Steel,Rectangle,Solid,Leather,Strap,Black,Tang,Black,Analog,Scratch Resistant Sapphire,Luminous,Arabic Numeral,Minute Markers around the outer rim,Fixed,,Stainless Steel,Locman,Stealth R,Mens,240BK2BK,Quartz,,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Leather, Stainless Steel",Casual,34.0,50.0,
5250.0,Stainless Steel,Square,Transparent,Stainless Steel,Bracelet,Silver-tone,Folding,Blue,Analog,Scratch Resistant Sapphire,Silver-tone,Index-Arabic Numeral,Arabic Numeral Marker appears at the 6 and 12 o'clock positions. Arabic Numeral Minute Markers (at 5 minute intervals),Fixed,Silver-tone,Stainless Steel,Bell And Ross,Br 05 Chrono,Mens,BR05C-BLU-ST/SST,Automatic,Bell and Ross Calibre BR-CAL.301,Date display between 4 and 5 o'clock position,"Chronograph, Date, Hour, Minute, Second","Analog, Stainless Steel, Chronograph",Luxury,42.0,100.0,
325.0,Stainless Steel,Round,Transparent,Leather,Strap,Black,Deployment with Push Button Release,Blue,Analog,Scratch Resistant Mineral,Silver-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,Black,Stainless Steel,Stuhrling Original,Aquadiver,Mens,M17182,Automatic,,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Leather, Stainless Steel",Dive,42.0,200.0,16.0
610.0,Stainless Steel,Round,Solid,Genuine Leather,Strap,Black,Tang,Silver-tone,Analog,Scratch Resistant Sapphire,Rose Gold-tone,Roman Numeral & Index,Minute Markers around the outer rim,Fixed,Rose Gold-tone,Stainless Steel,Alexander,Alexander 2,Mens,A171A-02,Quartz,Ronda Caliber 515.24H,Date display at the 3 o'clock position,"Date, GMT, Second Time Zone, Hour, Minute, Second","Analog, GMT, Gold, Leather, Stainless Steel, Time Zone",Dress,42.0,50.0,9.0
54500.0,18kt Yellow Gold,Round,Solid,Gold Rolex President,Bracelet,18kt Yellow,Concealed Crown,Champagne,Analog,Scratch Resistant Sapphire,Yellow Gold-tone,Diamond,Minute Markers around the outer rim,Fixed Fluted,,18kt Yellow Gold,Rolex,Day-Date 40,Mens,M228238-0005,Automatic,Rolex Calibre 3255,Date display at 3 o'clock; Day Display at 12 o'clock.,"Date, Day, Hour, Minute, Second, Chronometer","Analog, Chronometer, Gold, Diamond",Luxury,40.0,100.0,
