case_material,band_material,case_back,bezel_material,brand,gender,movement,watch_style,case_thickness,crystal,hands,dial_markers,case_diameter,water_resistance,price_segment
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,MENS,Quartz,Luxury,13.0,Scratch Resistant Sapphire,Silver-tone,Index,41.0,300.0,0
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Invicta,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Mineral,Silver-tone Mercedes-logo and Breguet-style shape,Index,47.0,300.0,0
Stainless Steel,Leather,Solid,18kt Rose Gold,Bvlgari,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,33.0,30.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Blue Ceramic Ring,Rado,MENS,Automatic,Casual,12.3,Scratch Resistant Sapphire,Luminous Silver-tone,Index,42.0,300.0,1
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Tag Heuer,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,36.0,50.0,1
Polished Alloy,Stainless Steel,Solid,Alloy,Joshua And Sons,MENS,Quartz,Dress,12.0,Mineral with Sapphire Coating,Luminous Black,Index,42.0,30.0,0
Metal,Stainless Steel Mesh,Solid,Metal,Simplify,UNISEX,Quartz,Casual,9.0,Scratch Resistant Mineral,Silver-tone,Index,38.0,30.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel set with Swarovski Crystals,Burgi,WOMENS,Quartz,Dress,8.0,Scratch Resistant Mineral,Gold-tone,Roman Numeral,34.0,30.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Michael Kors,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Black,Index-Arabic Numeral,45.0,30.0,0
Stainless Steel,Genuine Leather,Solid,Stainless Steel,Alexander,MENS,Quartz,Dress,9.0,Scratch Resistant Sapphire,Rose Gold-tone,Roman Numeral & Index,42.0,50.0,0
Alloy,Leather,Transparent,Stainless Steel,Stuhrling Original,MENS,Automatic,Dress,13.0,Scratch Resistant Krysterna,Silver-tone Dauphine-style shape,Index,44.0,50.0,0
Stainless Steel,Leather,Solid,Stainless Steel,Breitling,MENS,Automatic,Luxury,14.17,Scratch Resistant Sapphire,Luminous Rose-tone,Arabic Numeral,43.0,100.0,1
18kt White Gold,Alligator Leather,Skeleton,18kt White Gold,Cartier,MENS,Hand Wind,Luxury,15.5,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Roman Numeral,47.0,30.0,4
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,10.0,Scratch Resistant Sapphire,Luminous Silver-tone,Diamond,34.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Blue Ring,Mathey-Tissot,MENS,Quartz,Casual,12.0,Scratch Resistant Sapphire,Luminous Yellow Gold-tone,Dot,42.0,100.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,13.5,Scratch Resistant Mineral,Silver-tone,Arabic Numeral,48.0,100.0,0
Stainless Steel,Genuine Leather,Solid,Stainless Steel,Porsamo Bleu,MENS,Quartz,Luxury,12.0,Scratch Resistant Mineral,Silver-tone,Arabic Numeral & Index,44.0,50.0,0
