case_material,band_material,case_back,bezel_material,brand,gender,movement,watch_style,case_thickness,crystal,hands,dial_markers,case_diameter,water_resistance,price
Stainless Steel,Stainless Steel and 18kt Rose Gold,Transparent See Through,18kt Rose Gold,Audemars Piguet,WOMENS,Automatic,Luxury,8.8,Scratch Resistant Sapphire,Rose Gold-tone,Index,34.0,50.0,44565.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Quartz,Sport,9.5,Crystal Glass,Silver-tone,Index,38.0,50.0,174.0
Stainless Steel,Silicone,Solid,Stainless Steel,Tissot,MENS,Quartz,Sport,11.8,Scratch Resistant Sapphire,Rose Gold-tone,Index,45.0,100.0,444.0
Stainless Steel,Stainless Steel set with Crystals,Solid,Stainless Steel set with Crystals,Bulova,WOMENS,Quartz,Luxury,7.9,Scratch Resistant Mineral,Silver-tone,Crystal,30.0,30.0,209.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Arabic Numeral,40.0,50.0,84.0
Stainless Steel,Silicone,Solid,Stainless Steel,Invicta,MENS,Quartz,Sport,15.0,Flame Fusion,Silver-tone,Index,50.0,100.0,48.0
Stainless Steel,Leather,Solid,Stainless Steel with a Black Ring showing Tachymeter Markings,Victorinox,MENS,Quartz,Sport,11.0,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,42.0,100.0,415.0
18kt White Gold,Satin,Solid,Diamond Set,Vacheron Constantin,WOMENS,Hand Wind,Luxury,7.4,Scratch Resistant Sapphire,Black Spade-shaped,Roman Numeral at the 6 and 12 o' clock,34.0,94.38815128863104,55660.0
Stainless Steel,Genuine Leather,Transparent,Stainless Steel,Alexander,MENS,Automatic,Luxury,10.8,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,43.0,30.0,1256.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Green Ceramic Ring,Gevril,MENS,Automatic,Luxury,13.0,Scratch Resistant Sapphire,Luminous Silver-tone,Dot,43.0,200.0,1594.99
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Longines,WOMENS,Automatic,Luxury,9.0,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,29.0,30.0,1450.0
Stainless Steel,Stainless Steel,Skeleton,Stainless Steel,Hamilton,MENS,Automatic,Casual,11.0,Scratch Resistant Sapphire,Silver-tone,Index,40.0,50.0,649.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Tudor,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Diamond,26.0,100.0,4715.0
Stainless Steel,Leather,Solid,Stainless Steel,Orient,MENS,Automatic,Casual,11.8,Scratch Resistant Mineral,Silver-tone,Index,40.0,30.0,155.0
Stainless Steel,Rubber,Transparent,Stainless Steel with an inlaid Black Ceramic Ring,Tissot,MENS,Automatic,Dive,16.3,Scratch Resistant Sapphire,Luminous Gold-tone,Dot,46.0,600.0,799.0
Baguette Diamond-Set 18kt White Gold,Baguette Diamond-Set 18kt White Gold,Solid,Diamond Set,Audemars Piguet,MENS,Automatic,Luxury,15.0,Scratch Resistant Sapphire,Luminous,Diamond,42.0,20.0,1386640.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Hamilton,MENS,Quartz,Dress,9.0,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,40.0,50.0,434.0
Stainless Steel,Stainless Steel,Solid,Ceramic,Tag Heuer,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,36.0,300.0,2735.0
Stainless Steel,Rubber,Transparent See Through,Stainless Steel,Bell And Ross,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,40.0,100.0,6795.0
Stainless Steel,Alligator,Transparent See Through,Stainless Steel,Longines,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,40.0,30.0,1390.0
18kt White Gold,18kt White Gold Oyster,Solid,18kt White Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,40.0,100.0,54625.0
Stainless Steel and 18kt Yellow Gold,Stainless Steel and 18kt Yellow Gold Rolex Jubilee,Solid,Diamond Set,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Diamonds,36.0,100.0,26220.0
Stainless Steel,Leather,Transparent,Stainless Steel,Hamilton,MENS,Automatic,Dress,11.4,Scratch Resistant Sapphire,Luminous Silver-tone Dauphine-style,Index,42.0,50.0,824.4
Composite Metal,Leather,Solid,Composite Metal set with Crystals,August Steiner,WOMENS,Quartz,Fashion,7.0,Scratch Resistant Mineral,Rose Gold-tone Stick-style,Index,35.0,30.0,49.2
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Hamilton,MENS,Automatic,Casual,11.64,Scratch Resistant Sapphire,Luminous Silver-tone,Index,44.0,50.0,679.99
18kt Rose Gold,18kt Rose Gold,Skeleton,18kt Rose Gold,Audemars Piguet,MENS,Automatic,Luxury,9.8,Scratch Resistant Sapphire,Rose Gold-tone Leaf-style shape,Roman Numeral,36.0,20.0,46110.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel Diamond Encrusted (.50 carats),Ebel,WOMENS,Quartz,Dress,7.4,Scratch Resistant Sapphire,Luminous Silver-tone,Diamond,32.0,50.0,2730.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,11.9,Flame Fusion,Silver-tone,Index,45.0,50.0,65.0
Stainless Steel,Leather,Solid,46 Diamond Set,Chopard,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver tone,Roman Numerals,23.0,30.0,7265.0
Polished Alloy,Stainless Steel Mesh,Solid,Alloy with a Black Ring showing 24 Hour Markings,Joshua And Sons,MENS,Quartz,Sport,10.5,Mineral with a Hardened Coating,Luminous Blue,Arabic Numeral,45.0,30.0,69.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Casual,16.0,Scratch Resistant Sapphire,Silver-tone,Index,38.299275680421424,200.0,315.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Hamilton,MENS,Quartz,Casual,10.2,Scratch Resistant Sapphire,Luminous Silver-tone,Index,40.0,50.0,454.99
Stainless Steel,Leather,Solid,Stainless Steel,Seiko,WOMENS,Quartz,Dress,6.4,Scratch Resistant Hardlex,Silver-tone,Index,32.0,50.0,119.0
