case_material,band_material,case_back,bezel_material,brand,gender,movement,watch_style,case_thickness,crystal,hands,dial_markers,case_diameter,water_resistance,price_segment
7,6,45,1,1,2,0,4,0.10031347962382445,4,12,4,0.47826086956521735,0.00783725195931299,3
7,9,28,9,8,0,3,7,0.11128526645768025,1,13,4,0.5652173913043479,0.00783725195931299,0
7,8,28,9,29,0,3,7,0.14733542319749215,4,12,4,0.7173913043478262,0.01617475404368851,0
7,6,28,8,20,2,3,4,0.08620689655172414,3,13,6,0.391304347826087,0.004502251125562781,0
7,9,28,9,16,0,3,0,0.13787119641314297,3,13,0,0.6086956521739131,0.00783725195931299,0
7,8,28,9,14,0,3,7,0.19749216300940436,0,13,4,0.826086956521739,0.01617475404368851,0
7,5,28,8,20,0,3,7,0.1347962382445141,4,9,0,0.6521739130434783,0.01617475404368851,0
1,6,28,7,20,2,2,4,0.07836990595611285,4,11,6,0.47826086956521735,0.015238978037123735,3
7,4,39,9,20,0,0,4,0.13166144200626959,4,13,7,0.6739130434782608,0.004502251125562781,1
7,9,28,8,9,0,0,4,0.16614420062695923,4,9,3,0.6739130434782608,0.03284975821243955,1
7,9,39,9,15,2,0,4,0.10344827586206895,4,13,7,0.3695652173913044,0.004502251125562781,1
7,9,23,9,11,0,0,0,0.1347962382445141,4,13,4,0.6086956521739131,0.00783725195931299,0
7,9,28,9,30,2,0,4,0.13787119641314297,4,4,2,0.3043478260869565,0.01617475404368851,1
7,5,28,9,19,0,0,0,0.14733542319749215,3,13,4,0.6086956521739131,0.004502251125562781,0
7,7,39,8,29,0,0,1,0.21786833855799373,4,7,3,0.7391304347826086,0.09954977488744371,0
6,6,28,7,1,0,0,4,0.19749216300940436,4,5,2,0.6521739130434783,0.002834750708687677,4
7,9,28,9,11,0,3,2,0.10344827586206895,4,13,0,0.6086956521739131,0.00783725195931299,0
7,9,28,5,28,2,0,4,0.13787119641314297,4,13,2,0.5217391304347825,0.04952476238119059,1
7,7,45,9,3,0,0,4,0.13787119641314297,4,13,4,0.6086956521739131,0.01617475404368851,1
7,2,45,9,15,0,0,4,0.13787119641314297,4,13,4,0.6086956521739131,0.004502251125562781,1
1,6,28,2,25,0,0,4,0.13787119641314297,4,13,2,0.6086956521739131,0.01617475404368851,3
6,6,28,7,25,0,0,4,0.13787119641314297,4,14,6,0.5217391304347825,0.01617475404368851,2
7,5,39,9,11,0,0,2,0.14106583072100312,4,11,4,0.6521739130434783,0.00783725195931299,0
5,5,28,8,2,2,3,3,0.07210031347962381,3,11,4,0.49999999999999994,0.004502251125562781,0
7,9,39,9,11,0,0,0,0.14482758620689654,4,9,4,0.6956521739130435,0.00783725195931299,0
0,6,23,1,1,0,0,4,0.11598746081504702,4,11,7,0.5217391304347825,0.002834750708687677,3
7,9,39,8,20,2,3,2,0.07836990595611285,4,9,2,0.43478260869565216,0.00783725195931299,1
7,9,28,9,14,0,3,0,0.14890282131661442,0,13,4,0.7173913043478262,0.00783725195931299,0
7,5,28,8,7,2,3,2,0.13787119641314297,4,11,6,0.2391304347826087,0.004502251125562781,1
6,10,28,8,20,0,3,7,0.1269592476489028,1,11,0,0.7173913043478262,0.004502251125562781,0
7,9,28,9,8,0,1,0,0.21316614420062693,4,13,4,0.5717233843569876,0.03284975821243955,0
7,9,28,9,11,0,3,0,0.12225705329153602,4,9,4,0.6086956521739131,0.00783725195931299,0
7,5,28,9,26,2,3,2,0.06269592476489028,2,13,4,0.43478260869565216,0.00783725195931299,0
2,6,28,8,25,0,0,1,0.13787119641314297,4,14,3,0.6304347826086956,0.04952476238119059,3
6,9,28,7,20,2,3,4,0.13787119641314297,4,13,6,0.3478260869565218,0.00783725195931299,1
0,3,23,1,1,2,0,4,0.10658307210031345,4,12,7,0.7173913043478262,0.002834750708687677,3
7,6,28,9,13,2,0,4,0.09717868338557992,4,13,6,0.47826086956521735,0.004502251125562781,1
7,9,28,9,20,2,3,0,0.10344827586206895,3,12,4,0.45652173913043476,0.00783725195931299,0
7,9,39,9,17,2,0,4,0.12460815047021942,4,13,4,0.45652173913043476,0.01617475404368851,0
7,7,28,8,26,0,3,7,0.15047021943573666,2,9,4,0.6739130434782608,0.01617475404368851,0
7,9,28,9,10,2,3,3,0.11912225705329152,4,12,4,0.5869565217391304,0.00783725195931299,0
8,5,28,10,20,0,3,0,0.07993730407523511,3,0,7,0.5434782608695652,0.004502251125562781,0
7,6,28,9,25,0,0,4,0.13787119641314297,4,13,4,0.47826086956521735,0.01617475404368851,1
7,6,28,7,25,2,0,4,0.13787119641314297,4,3,4,0.3478260869565218,0.01617475404368851,2
6,7,28,8,21,0,0,1,0.13787119641314297,4,11,3,0.7608695652173911,0.04952476238119059,2
2,6,45,3,1,0,0,4,0.10815047021943575,4,15,4,0.5434782608695652,0.00783725195931299,4
6,6,28,8,20,0,3,7,0.2272727272727272,3,11,4,0.8478260869565217,0.03284975821243955,0
7,9,28,8,9,2,3,4,0.07993730407523511,4,13,2,0.5217391304347825,0.00783725195931299,1
7,6,39,9,23,2,0,4,0.11912225705329152,4,12,2,0.45652173913043476,0.004502251125562781,1
7,9,28,9,24,0,0,4,0.16065830721003133,4,13,4,0.6521739130434783,0.04952476238119059,0
7,5,28,8,20,0,3,7,0.15047021943573666,3,9,4,0.6739130434782608,0.00783725195931299,0
7,5,28,8,10,2,3,3,0.15047021943573666,4,15,6,0.47826086956521735,0.00783725195931299,0
7,7,39,9,7,0,0,4,0.16097178683385577,4,9,0,0.6521739130434783,0.00783725195931299,1
0,3,39,1,20,0,0,4,0.13401253918495296,4,12,5,0.6086956521739131,0.00783725195931299,2
7,5,28,9,20,0,3,4,0.19749216300940436,3,13,6,0.7173913043478262,0.004502251125562781,0
7,9,28,9,8,0,3,2,0.14576802507836986,3,13,4,0.5652173913043479,0.00783725195931299,0
7,5,28,9,10,2,3,3,0.11912225705329152,4,15,7,0.5217391304347825,0.004502251125562781,0
6,6,28,8,16,0,0,0,0.09639498432601881,4,9,3,0.6956521739130435,0.004502251125562781,0
7,6,28,9,5,0,0,7,0.1520376175548589,4,13,4,0.6521739130434783,0.04952476238119059,1
